software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618618735,1008,138,1
1764618618747,991,138,1
1764618618750,978,138,1
1764618618760,964,137,1
1764618618767,953,137,1
1764618618777,943,135,1
1764618618784,932,134,1
1764618618791,926,134,1
1764618618800,919,134,1
1764618618808,909,134,1
1764618618816,902,132,1
1764618618823,896,132,1
1764618618834,890,132,1
1764618618840,884,132,1
1764618618847,879,132,1
1764618618856,874,132,1
1764618618864,867,132,1
1764618618871,861,132,1
1764618618881,855,132,1
1764618618888,853,132,1
1764618618898,848,132,1
1764618618903,843,132,1
1764618618913,837,132,1
1764618618919,832,133,1
1764618618930,823,137,1
1764618618933,816,138,1
1764618618944,810,139,1
1764618618950,803,143,1
1764618618961,799,145,1
1764618618966,795,148,1
1764618618975,792,150,1
1764618618983,785,154,1
1764618618991,782,156,1
1764618618999,778,159,1
1764618619009,775,164,1
1764618619015,770,167,1
1764618619023,767,171,1
1764618619031,761,176,1
1764618619038,756,184,1
1764618619046,752,187,1
1764618619054,746,193,1
1764618619063,741,199,1
1764618619071,734,208,1
1764618619081,728,214,1
1764618619087,717,223,1
1764618619096,711,230,1
1764618619103,703,237,1
1764618619112,696,243,1
1764618619120,688,251,1
1764618619128,683,255,1
1764618619134,675,265,1
1764618619146,668,272,1
1764618619150,660,280,1
1764618619160,650,289,1
1764618619167,639,300,1
1764618619174,631,310,1
1764618619183,619,326,1
1764618619191,610,336,1
1764618619199,603,345,1
1764618619206,594,359,1
1764618619216,588,368,1
1764618619224,583,379,1
1764618619232,576,389,1
1764618619240,571,402,0
1764618619249,567,412,0
1764618619256,563,421,0
1764618619266,562,430,0
1764618619272,557,437,0
1764618619282,554,446,0
1764618619288,552,455,0
1764618619299,549,464,0
1764618619302,546,471,0
1764618619313,546,475,0
1764618619320,546,478,0
1764618619333,545,485,0
1764618619334,545,492,0
1764618619343,545,495,0
1764618619352,545,502,0
1764618619364,545,507,0
1764618619366,545,511,0
1764618619375,545,516,0
1764618619383,545,519,0
1764618619392,545,523,0
1764618619399,545,528,0
1764618619408,545,533,0
1764618619416,545,538,0
1764618619424,545,544,0
1764618619432,546,549,0
1764618619440,551,557,0
1764618619448,551,562,0
1764618619456,551,567,0
1764618619465,552,574,0
1764618619472,554,581,0
1764618619482,554,586,0
1764618619487,557,592,0
1764618619500,559,601,0
1764618619503,560,609,0
1764618619511,562,611,0
1764618619520,563,613,0
1764618619528,565,618,0
1764618619535,569,627,0
1764618619544,571,636,0
1764618619550,575,642,0
1764618619559,581,648,0
1764618619568,586,654,0
1764618619578,589,660,0
1764618619583,594,667,0
1764618619592,598,673,0
1764618619600,601,679,0
1764618619610,608,687,0
1764618619614,614,693,0
1764618619625,620,700,0
1764618619632,627,707,0
1764618619641,632,710,0
1764618619648,637,715,1
1764618619654,643,721,1
1764618619665,649,724,1
1764618619672,655,729,1
1764618619682,661,735,1
1764618619687,667,743,1
1764618619698,673,748,1
1764618619703,681,754,1
1764618619712,687,758,1
1764618619720,696,763,1
1764618619729,705,768,1
1764618619734,714,772,1
1764618619744,724,776,1
1764618619750,735,780,1
1764618619760,744,782,1
1764618619768,754,785,1
1764618619776,763,787,1
1764618619784,768,788,1
1764618619791,777,793,1
1764618619799,788,797,1
1764618619809,796,797,1
1764618619815,807,800,1
1764618619826,818,801,0
1764618619831,830,804,0
1764618619843,844,805,0
1764618619846,852,807,0
1764618619858,864,808,0
1764618619863,871,810,0
1764618619871,880,810,0
1764618619881,887,810,0
1764618619888,894,814,0
1764618619897,904,814,0
1764618619904,913,816,0
1764618619913,921,818,0
1764618619920,931,818,0
1764618619928,938,818,0
1764618619934,948,818,0
1764618619945,955,819,0
1764618619950,962,819,0
1764618619960,972,820,0
1764618619968,981,820,0
1764618619976,991,820,0
1764618619982,999,820,0
1764618619991,1012,820,0
1764618620000,1022,820,0
1764618620008,1034,820,1
1764618620015,1044,820,1
1764618620024,1056,820,1
1764618620032,1067,820,1
1764618620040,1077,820,1
1764618620048,1088,823,1
1764618620056,1098,823,1
1764618620064,1106,823,1
1764618620071,1113,823,1
1764618620079,1123,823,1
1764618620089,1131,823,1
1764618620096,1138,823,1
1764618620104,1147,820,1
1764618620115,1154,818,0
1764618620118,1166,815,0
1764618620130,1175,812,0
1764618620135,1184,810,0
1764618620144,1191,808,0
1764618620150,1200,802,0
1764618620162,1206,799,0
1764618620166,1212,797,0
1764618620176,1219,792,0
1764618620184,1227,787,0
1764618620191,1231,782,0
1764618620200,1237,776,0
1764618620208,1244,770,0
1764618620216,1248,764,0
1764618620224,1252,759,0
1764618620232,1258,753,0
